Competition,Team,Opponent,Venue,GF,GA,Win,Draw,Loss,Points,CleanSheet,FailedToScore
NLM-CZ,GHF Rift Pirates Men,Dukes of Gloucester,Home,9,1,1,0,0,3,0,0
NLM-CZ,Thika Rovers,Dukes of Gloucester,Home,8,0,1,0,0,3,1,0
NLM-WZ,Fire Flickers,GHF Blue Pirates II,Home,3,1,1,0,0,3,0,0
NLM-WZ,Fire Flickers,Kitale Hockey Club,Home,1,2,0,0,1,0,0,0
NLM-WZ,Fire Flickers,Lakers Hockey Club Men,Home,1,1,0,1,0,1,0,0
NLM-WZ,GHF Blue Pirates II,Kitale Hockey Club,Home,2,3,0,0,1,0,0,0
NLM-WZ,GHF Blue Pirates II,Nandi Hawks,Home,2,2,0,1,0,1,0,0
NLM-WZ,Kitale Hockey Club,Nandi Hawks,Home,7,0,1,0,0,3,1,0
NLM-WZ,Lakers Hockey Club Men,GHF Blue Pirates II,Home,1,0,1,0,0,3,1,0
NLM-WZ,Lakers Hockey Club Men,Kitale Hockey Club,Home,0,1,0,0,1,0,0,1
NLM-WZ,Nandi Hawks,Fire Flickers,Home,1,0,1,0,0,3,1,0
NLM-WZ,Nandi Hawks,Lakers Hockey Club Men,Home,1,2,0,0,1,0,0,0
NLM-WZ,Western Jaguars Dev,Kitale Hockey Club,Home,0,2,0,0,1,0,0,1
NLM-SZ,Bay Club,Kisii Falcons,Home,1,3,0,0,1,0,0,0
NLM-SZ,Gorillas Hockey CLub – Migori,Bay Club,Home,0,8,0,0,1,0,0,1
NLM-SZ,Kisii Falcons,Gorillas Hockey CLub – Migori,Home,4,0,1,0,0,3,1,0
NLM-SZ,Oyugis Hockey Club,Bay Club,Home,0,2,0,0,1,0,0,1
NLM-SZ,Oyugis Hockey Club,Gorillas Hockey CLub – Migori,Home,1,3,0,0,1,0,0,0
NLM-SZ,Oyugis Hockey Club,Kisii Falcons,Home,0,10,0,0,1,0,0,1
PLW,Blazers Hockey Club,Amira Sailors Hockey Club,Away,3,0,1,0,0,3,1,0
PLW,Sliders Hockey Club,Amira Sailors Hockey Club,Away,0,0,0,1,0,1,1,1
PLW,Kenyatta University Ladies,Blazers Hockey Club,Away,0,2,0,0,1,0,0,1
PLW,Kisumu Queens,Blazers Hockey Club,Away,0,1,0,0,1,0,0,1
PLW,Sliders Hockey Club,Blazers Hockey Club,Away,0,3,0,0,1,0,0,1
PLW,Sliders Hockey Club,Kenyatta University Ladies,Away,1,1,0,1,0,1,0,0
PLW,Amira Sailors Hockey Club,Kisumu Queens,Away,0,0,0,1,0,1,1,1
PLW,Strathmore University Ladies,Kisumu Queens,Away,2,2,0,1,0,1,0,0
PLW,USIU – A Ladies,Kisumu Queens,Away,0,0,0,1,0,1,1,1
PLW,Amira Sailors Hockey Club,Lakers Hockey Club,Away,1,2,0,0,1,0,0,0
PLW,Kisumu Queens,Lakers Hockey Club,Away,0,0,0,1,0,1,1,1
PLW,Strathmore University Ladies,Lakers Hockey Club,Away,1,1,0,1,0,1,0,0
PLW,USIU – A Ladies,Lakers Hockey Club,Away,1,0,1,0,0,3,1,0
PLW,Lakers Hockey Club,Sliders Hockey Club,Away,6,0,1,0,0,3,1,0
PLW,UON Ladies,Sliders Hockey Club,Away,0,1,0,0,1,0,0,1
PLW,USIU – A Ladies,Sliders Hockey Club,Away,2,0,1,0,0,3,1,0
