Competition_x,Season,MatchNo,Date,Time,HomeTeam,AwayTeam,HomeGoals,AwayGoals,URL,TotalGoals,Competition_y,HomeStrength,Competition,AwayStrength,StrengthDifference,GoalDifference,Outcome
SLM,2026,106.0,07-06-2026,10:00,UON Men,Parkroad Tigers,3,2,https://www.kenyahockeyunion.org/joomsport_match/super-league-men-slm-2026-uon-men-vs-parkroad-tigers/,5,SLM,0.85,SLM,0.72,0.13,1,Home Win
SLM,2026,,05-07-2026,13:00,Wazalendo Masters,GHF Blue Pirates,0,2,https://www.kenyahockeyunion.org/joomsport_match/super-league-men-slm-2026-wazalendo-masters-vs-ghf-blue-pirates/,2,SLM,0.72,SLM,1.45,-0.73,-2,Away Win
SLM,2026,,14-06-2026,13:00,Wazalendo Masters,KCA University,0,3,https://www.kenyahockeyunion.org/joomsport_match/super-league-men-slm-2026-wazalendo-masters-vs-kca-university/,3,SLM,0.72,SLM,1.66,-0.94,-3,Away Win
SLM,2026,,04-07-2026,15:00,Wazalendo Masters,UON Men,0,1,https://www.kenyahockeyunion.org/joomsport_match/super-league-men-slm-2026-wazalendo-masters-vs-uon-men/,1,SLM,0.72,SLM,0.85,-0.13,-1,Away Win
SLW,2026,101.0,06-06-2026,15:00,Black Tigresses,Twinkle Hockey Club,0,6,https://www.kenyahockeyunion.org/joomsport_match/super-league-women-slw-2026-black-tigresses-vs-twinkle-hockey-club/,6,SLW,0.14,SLW,2.63,-2.49,-6,Away Win
SLW,2026,,14-06-2026,10:00,Daystar University Ladies,GHF Rift Pirates Ladies,0,2,https://www.kenyahockeyunion.org/joomsport_match/super-league-women-slw-2026-daystar-university-ladies-vs-ghf-rift-pirates-ladies/,2,SLW,0.76,SLW,1.34,-0.58,-2,Away Win
SLW,2026,,04-07-2026,15:00,Daystar University Ladies,Gorillas Hockey Club – Ladies,3,1,https://www.kenyahockeyunion.org/joomsport_match/super-league-women-slw-2026-daystar-university-ladies-vs-gorillas-hockey-club-ladies/,4,SLW,0.76,SLW,0.74,0.02,2,Home Win
SLW,2026,,28-06-2026,10:00,Daystar University Ladies,Lakers Hockey Club – B,0,1,https://www.kenyahockeyunion.org/joomsport_match/super-league-women-slw-2026-daystar-university-ladies-vs-lakers-hockey-club-b/,1,SLW,0.76,SLW,1.58,-0.82,-1,Away Win
SLW,2026,,27-06-2026,12:00,Daystar University Ladies,Wazalendo Pearls,0,3,https://www.kenyahockeyunion.org/joomsport_match/super-league-women-slw-2026-daystar-university-ladies-vs-wazalendo-pearls/,3,SLW,0.76,SLW,1.8,-1.04,-3,Away Win
SLW,2026,,27-06-2026,13:00,GHF Rift Pirates Ladies,Lakers Hockey Club – B,2,1,https://www.kenyahockeyunion.org/joomsport_match/super-league-women-slw-2026-ghf-rift-pirates-ladies-vs-lakers-hockey-club-b/,3,SLW,1.34,SLW,1.58,-0.24,1,Home Win
SLW,2026,,11-07-2026,14:00,GHF Rift Pirates Ladies,Mombasa Sports Club Ladies,2,1,https://www.kenyahockeyunion.org/joomsport_match/super-league-women-slw-2026-ghf-rift-pirates-ladies-vs-mombasa-sports-club-ladies/,3,SLW,1.34,SLW,1.03,0.31,1,Home Win
SLW,2026,,21-06-2026,10:00,GHF Rift Pirates Ladies,Twinkle Hockey Club,0,1,https://www.kenyahockeyunion.org/joomsport_match/super-league-women-slw-2026-ghf-rift-pirates-ladies-vs-twinkle-hockey-club/,1,SLW,1.34,SLW,2.63,-1.29,-1,Away Win
SLW,2026,,11-07-2026,13:00,Lakers Hockey Club – B,Gorillas Hockey Club – Ladies,1,0,https://www.kenyahockeyunion.org/joomsport_match/super-league-women-slw-2026-lakers-hockey-club-b-vs-gorillas-hockey-club-ladies/,1,SLW,1.58,SLW,0.74,0.84,1,Home Win
SLW,2026,,19-07-2026,09:00,Lakers Hockey Club – B,Mombasa Sports Club Ladies,0,0,https://www.kenyahockeyunion.org/joomsport_match/super-league-women-slw-2026-lakers-hockey-club-b-vs-mombasa-sports-club-ladies/,0,SLW,1.58,SLW,1.03,0.55,0,Draw
SLW,2026,,20-06-2026,12:00,Lakers Hockey Club – B,Twinkle Hockey Club,3,3,https://www.kenyahockeyunion.org/joomsport_match/super-league-women-slw-2026-lakers-hockey-club-b-vs-twinkle-hockey-club/,6,SLW,1.58,SLW,2.63,-1.05,0,Draw
SLW,2026,,21-06-2026,09:00,Mombasa Sports Club Ladies,Wazalendo Pearls,1,2,https://www.kenyahockeyunion.org/joomsport_match/super-league-women-slw-2026-mombasa-sports-club-ladies-vs-wazalendo-pearls/,3,SLW,1.03,SLW,1.8,-0.77,-1,Away Win
SLW,2026,,19-07-2026,09:00,Swans Hockey Club,GHF Rift Pirates Ladies,2,1,https://www.kenyahockeyunion.org/joomsport_match/super-league-women-slw-2026-swans-hockey-club-vs-ghf-rift-pirates-ladies/,3,SLW,1.32,SLW,1.34,-0.02,1,Home Win
SLW,2026,,18-07-2026,13:00,Swans Hockey Club,Lakers Hockey Club – B,0,1,https://www.kenyahockeyunion.org/joomsport_match/super-league-women-slw-2026-swans-hockey-club-vs-lakers-hockey-club-b/,1,SLW,1.32,SLW,1.58,-0.26,-1,Away Win
