Competition,Season,MatchNo,Date,HomeTeam,AwayTeam,Minute,Event,Player,Team
PLM,2026,4.0,23-05-2026,Western Jaguars,Kisumu Youngsters,59',Yellow card,Malack Masese,Kisumu Youngsters
PLM,2026,4.0,23-05-2026,Western Jaguars,Kisumu Youngsters,56',Yellow card,Willis Wanjala,Kisumu Youngsters
PLM,2026,4.0,23-05-2026,Western Jaguars,Kisumu Youngsters,60',Yellow card,Emmanuel Wiswa,Western Jaguars
PLM,2026,45.0,07-06-2026,Western Jaguars,Parklands Sports Club,15',Green Card,Moses Omamu,Parklands Sports Club
PLM,2026,45.0,07-06-2026,Western Jaguars,Parklands Sports Club,20',Green Card,Willis Malesi,Western Jaguars
PLM,2026,45.0,07-06-2026,Western Jaguars,Parklands Sports Club,37',Green Card,Charles Otieno,Western Jaguars
PLM,2026,45.0,07-06-2026,Western Jaguars,Parklands Sports Club,40',Goal,Eudgas Lirhu,Parklands Sports Club
PLM,2026,45.0,07-06-2026,Western Jaguars,Parklands Sports Club,43',Green Card,Daniel Matara,Parklands Sports Club
PLM,2026,45.0,07-06-2026,Western Jaguars,Parklands Sports Club,43',Yellow card,Kennedy Wanyonyi,Parklands Sports Club
PLM,2026,45.0,07-06-2026,Western Jaguars,Parklands Sports Club,46',Yellow card,Wycliffe Wanyonyi,Parklands Sports Club
PLM,2026,45.0,07-06-2026,Western Jaguars,Parklands Sports Club,47',Yellow card,Moses Omamu,Parklands Sports Club
PLM,2026,36.0,06-06-2026,Western Jaguars,USIU – A,5',Goal,Lawrence Makhatsa,USIU – A
PLM,2026,36.0,06-06-2026,Western Jaguars,USIU – A,10',Goal,Danstone Wabwire,USIU – A
PLM,2026,36.0,06-06-2026,Western Jaguars,USIU – A,33',Goal,Emmanuel Wiswa,Western Jaguars
PLM,2026,36.0,06-06-2026,Western Jaguars,USIU – A,25',Yellow card,Samuel Silong Kamaru,USIU – A
PLM,2026,36.0,06-06-2026,Western Jaguars,USIU – A,48',Goal,Sheldone Kimtai,Western Jaguars
PLM,2026,36.0,06-06-2026,Western Jaguars,USIU – A,50',Goal,Sheldone Kimtai,Western Jaguars
PLM,2026,36.0,06-06-2026,Western Jaguars,USIU – A,43',Goal,Alex Taiswa,Western Jaguars
PLM,2026,36.0,06-06-2026,Western Jaguars,USIU – A,40',Yellow card,Willis Malesi,Western Jaguars
PLM,2026,36.0,06-06-2026,Western Jaguars,USIU – A,50',Green Card,Daniel Omondi,Western Jaguars
